funder,amount,grants
The Wellcome Trust,"£18,040,829.00",40
"Department for Business, Energy and Industrial Strategy","£7,435,773.04",14
Cabinet Office,"£2,409,375.00",1
Esmée Fairbairn Foundation,"£650,000.00",2
"Department for Digital, Culture, Media and Sport","£550,000.00",1
Nuffield Foundation,"£339,157.00",1
Joseph Rowntree Charitable Trust,"£178,350.00",2
Indigo Trust,"£51,926.00",2
Joseph Rowntree Reform Trust,"£32,084.00",1
Barrow Cadbury Trust,"£29,000.00",1
"Department for Culture, Media and Sport","£22,060.00",3
Paul Hamlyn Foundation,"£10,320.00",1
The National Lottery Community Fund,"£10,000.00",1
Coop Foundation,"£7,941.20",1
Foundation Scotland,"£3,470.00",1